,datatime,volume
805,2013-03-18,3164560000
806,2013-03-19,3796210000
807,2013-03-20,3349090000
808,2013-03-21,3243270000
809,2013-03-22,2948380000
810,2013-03-25,3178170000
811,2013-03-26,2869260000
812,2013-03-27,2914210000
813,2013-03-28,3304440000
814,2013-04-01,2753110000
815,2013-04-02,3312160000
816,2013-04-03,4060610000
817,2013-04-04,3350670000
818,2013-04-05,3515410000
819,2013-04-08,2887120000
820,2013-04-09,3252780000
821,2013-04-10,3453350000
822,2013-04-11,3393950000
823,2013-04-12,3206290000
824,2013-04-15,4660130000
825,2013-04-16,3654700000
826,2013-04-17,4250310000
827,2013-04-18,3890800000
828,2013-04-19,3569870000
829,2013-04-22,2979880000
830,2013-04-23,3565150000
831,2013-04-24,3598240000
832,2013-04-25,3908580000
833,2013-04-26,3198620000
834,2013-04-29,2891200000
835,2013-04-30,3745070000
836,2013-05-01,3530320000
837,2013-05-02,3366950000
838,2013-05-03,3603910000
839,2013-05-06,3062240000
840,2013-05-07,3309580000
841,2013-05-08,3554700000
842,2013-05-09,3457400000
843,2013-05-10,3086470000
844,2013-05-13,2910600000
845,2013-05-14,3457790000
846,2013-05-15,3657440000
847,2013-05-16,3513130000
848,2013-05-17,3440710000
849,2013-05-20,3275080000
850,2013-05-21,3513560000
851,2013-05-22,4361020000
852,2013-05-23,3945510000
853,2013-05-24,2758080000
854,2013-05-28,3457400000
855,2013-05-29,3587140000
856,2013-05-30,3498620000
857,2013-05-31,4099600000
858,2013-06-03,3952070000
859,2013-06-04,3653840000
860,2013-06-05,3632350000
861,2013-06-06,3547380000
862,2013-06-07,3371990000
863,2013-06-10,2978730000
864,2013-06-11,3435710000
865,2013-06-12,3202550000
866,2013-06-13,3378620000
867,2013-06-14,2939400000
868,2013-06-17,3137080000
869,2013-06-18,3120980000
870,2013-06-19,3545060000
871,2013-06-20,4858850000
872,2013-06-21,5797280000
873,2013-06-24,4733660000
874,2013-06-25,3761170000
875,2013-06-26,3558340000
876,2013-06-27,3364540000
877,2013-06-28,4977190000
878,2013-07-01,3104690000
879,2013-07-02,3317130000
880,2013-07-03,1966050000
881,2013-07-05,2634140000
882,2013-07-08,3514590000
883,2013-07-09,3155360000
884,2013-07-10,3011010000
885,2013-07-11,3446340000
886,2013-07-12,3039070000
887,2013-07-15,2623200000
888,2013-07-16,3081710000
889,2013-07-17,3153440000
890,2013-07-18,3452370000
891,2013-07-19,3302580000
892,2013-07-22,2779130000
893,2013-07-23,3096180000
894,2013-07-24,3336120000
895,2013-07-25,3322500000
896,2013-07-26,2762770000
897,2013-07-29,2840520000
898,2013-07-30,3320530000
899,2013-07-31,3847390000
900,2013-08-01,3775170000
901,2013-08-02,3136630000
902,2013-08-05,2529300000
903,2013-08-06,3141210000
904,2013-08-07,3010230000
905,2013-08-08,3271660000
906,2013-08-09,2957670000
907,2013-08-12,2789160000
908,2013-08-13,3035560000
909,2013-08-14,2871430000
910,2013-08-15,3426690000
911,2013-08-16,3211450000
912,2013-08-19,2904530000
913,2013-08-20,2994090000
914,2013-08-21,2932180000
915,2013-08-22,2537460000
916,2013-08-23,2582670000
917,2013-08-26,2430670000
918,2013-08-27,3219190000
919,2013-08-28,2784010000
920,2013-08-29,2527550000
921,2013-08-30,2734300000
922,2013-09-03,3731610000
923,2013-09-04,3312150000
924,2013-09-05,2957110000
925,2013-09-06,3123880000
926,2013-09-09,3102780000
927,2013-09-10,3691800000
928,2013-09-11,3135460000
929,2013-09-12,3106290000
930,2013-09-13,2736500000
931,2013-09-16,3079800000
932,2013-09-17,2774240000
933,2013-09-18,3989760000
934,2013-09-19,3740130000
935,2013-09-20,5074030000
936,2013-09-23,3126950000
937,2013-09-24,3268930000
938,2013-09-25,3148730000
939,2013-09-26,2813930000
940,2013-09-27,2951700000
941,2013-09-30,3308630000
942,2013-10-01,3238690000
